Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
mamun, http://127.0.0.1:5000/add, 8am, 9PM, ☕, ✘, ✘ 
mamun, http://127.0.0.1:5000/add, 8am, 9PM, ☕, ✘, ✘ 
mamun, http://127.0.0.1:5000/add, 8am, 9PM, ☕, ✘, ✘ 
mamun, http://127.0.0.1:5000/add, 8am, 9PM, ☕, ✘, ✘ 
mamun, http://127.0.0.1:5000/add, 8am, 9PM, 2 star, ✘, ✘ 
mamun, http://127.0.0.1:5000/add, 8am, 9PM, ☕, ✘, ✘ 
mamun, http://127.0.0.1:5000/add, 8am, 9PM, ☕, ✘, ✘ 
mamun, http://127.0.0.1:5000/add, 8am, 9PM, ☕, ✘, ✘ 
sss, http://127.0.0.1:5000/add, ee, www, ☕☕☕, 💪💪💪💪, 🔌🔌🔌🔌🔌 
sss, http://127.0.0.1:5000/add, ee, www, ☕☕☕, 💪💪💪💪, 🔌🔌🔌🔌🔌 
sss, http://127.0.0.1:5000/add, ee, www, ☕☕☕, 💪💪💪💪, 🔌🔌🔌🔌🔌 
ww, http://www.cc.com/233, www, ww, ☕☕☕, 💪💪💪💪, 🔌🔌🔌🔌 
